行政區,里別,鄰別,基本學區
安南區,溪墘,全里,海佃國中
安南區,大安,全里,海佃國中、安南國中共同學區
安南區,理想,全里,海佃國中、安南國中共同學區
安南區,安西,全里,海佃國中、安順國中共同學區
安南區,安和,全里,海佃國中、安順國中共同學區
安南區,溪北,全里,海佃國中、安順國中共同學區
安南區,梅花,4 鄰,海佃國中、安順國中、安南國中共同學區
安南區,頂安,5、6、12、13、17、18、21 鄰,海佃國中、安順國中、安南國中共同學區
安南區,安東,全里,安順國中
安南區,安順,全里,安順國中
安南區,安慶,全里,安順國中
安南區,新順,全里,安順國中
安南區,總頭,全里,安順國中
安南區,原佃,全里,安順國中、安南國中共同學區
安南區,鳳凰,全里,安順國中、安南國中共同學區
安南區,頂安,1 至 4、7 至 11、14 至 16、19、20、22 鄰,安順國中、安南國中共同學區
安南區,梅花,除 4 鄰外之其餘鄰別,安順國中、安南國中共同學區
安南區,佃西,全里,安南國中
安南區,佃東,全里,安南國中
安南區,海西,全里,安南國中
安南區,海東,全里,安南國中
安南區,淵中,全里,安南國中
安南區,淵東,全里,安南國中
安南區,溪心,全里,安南國中
安南區,淵西,全里,安南國中、土城高中國中部共同學區
安南區,塩田,全里,安南國中、土城高中國中部共同學區
安南區,公塭,全里,土城高中國中部
安南區,四草,全里,土城高中國中部
安南區,青草,全里,土城高中國中部
安南區,南興,全里,土城高中國中部
安南區,城中,全里,土城高中國中部
安南區,城北,全里,土城高中國中部
安南區,城西,全里,土城高中國中部
安南區,城東,全里,土城高中國中部
安南區,城南,全里,土城高中國中部
安南區,砂崙,全里,土城高中國中部
安南區,鹿耳,全里,土城高中國中部
安南區,學東,全里,土城高中國中部
安南區,媽祖宮,全里,土城高中國中部
安南區,公親,全里,和順國中
安南區,布袋,全里,和順國中
安南區,州北,全里,和順國中
安南區,州南,全里,和順國中
安南區,東和,全里,和順國中
安南區,長安,全里,和順國中
安南區,塭南,全里,和順國中
新營區,三仙,全里,南新國中
新營區,民生,全里,南新國中
新營區,民榮,全里,南新國中
新營區,民權,全里,南新國中
新營區,永平,全里,南新國中
新營區,忠政,全里,南新國中
新營區,南紙,全里,南新國中
新營區,南興,全里,南新國中
新營區,新北,全里,南新國中
新營區,新南,全里,南新國中
新營區,嘉芳,全里,南新國中
新營區,興業,13 至 14 鄰、16 鄰,南新國中
新營區,土庫,全里,新東國中
新營區,大宏,全里,新東國中
新營區,中營,全里,新東國中
新營區,王公,全里,新東國中
新營區,埤寮,全里,新東國中
新營區,新東,全里,新東國中
新營區,興業,1 至 12 鄰、15 鄰,新東國中
新營區,護鎮,全里,新東國中
新營區,五興,全里,太子國中
新營區,太北,全里,太子國中
新營區,太南,全里,太子國中
新營區,姑爺,全里,太子國中
鹽水區,三明,全里,鹽水國中
鹽水區,三和,全里,鹽水國中
鹽水區,文昌,全里,鹽水國中
鹽水區,月港,全里,鹽水國中
鹽水區,水秀,全里,鹽水國中
鹽水區,竹林,全里,鹽水國中
鹽水區,汫水,全里,鹽水國中
鹽水區,岸內,全里,鹽水國中
鹽水區,津城,全里,鹽水國中
鹽水區,義中,全里,鹽水國中
鹽水區,橋南,全里,鹽水國中
鹽水區,歡雅,全里,鹽水國中
鹽水區,坔頭港,全里,鹽水國中、下營國中共同學區
白河區,大竹,全里,白河國中
白河區,大林,全里,白河國中
白河區,內角,全里,白河國中
白河區,六溪,全里,白河國中
白河區,仙草,全里,白河國中
白河區,外角,全里,白河國中
白河區,永安,全里,白河國中
白河區,白河,全里,白河國中
白河區,庄內,全里,白河國中
白河區,竹門,全里,白河國中
白河區,汴頭,全里,白河國中
白河區,秀祐,全里,白河國中
白河區,昇安,全里,白河國中
白河區,河東,全里,白河國中
白河區,虎山,全里,白河國中
白河區,崁頭,全里,白河國中
白河區,馬稠後,全里,白河國中
